table_id,col_idx,class,class_id,data
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00294-ip-10-236-191-2.ec2.internal.json.gz_1152-Iowa City Public Library'_NT2JPK6NIXV5P5LK,0,isbn,40,isbn 0786720123 isbn 0743504747 isbn 0670037605 isbn 0739303406 isbn 0962578037 isbn 0811733769 isbn 0061288500
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00294-ip-10-236-191-2.ec2.internal.json.gz_1152-Iowa City Public Library'_NT2JPK6NIXV5P5LK,1,notes,48,notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private!
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00294-ip-10-236-191-2.ec2.internal.json.gz_1152-Iowa City Public Library'_NT2JPK6NIXV5P5LK,2,format,36,format Hardcover format Audio CD format Hardcover format Audio Cassette format Hardcover format Paperback format Hardcover
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00210-ip-10-236-191-2.ec2.internal.json.gz_2033-Rainer Strohbach Bio, Sta_OIJFV5KOUF6VLWEX",0,age,3,22 22
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00210-ip-10-236-191-2.ec2.internal.json.gz_2033-Rainer Strohbach Bio, Sta_OIJFV5KOUF6VLWEX",1,city,12,Moskva Moskva
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00210-ip-10-236-191-2.ec2.internal.json.gz_2033-Rainer Strohbach Bio, Sta_OIJFV5KOUF6VLWEX",2,country,22,East Germany East Germany
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00210-ip-10-236-191-2.ec2.internal.json.gz_2033-Rainer Strohbach Bio, Sta_OIJFV5KOUF6VLWEX",3,rank,60,4 2
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00058-ip-10-236-191-2.ec2.internal.json.gz_1565-KNFP459 (MONROVIA, CITY O_OSU45AFHXZP5TZVW",0,type,75,PIPE POLE
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00058-ip-10-236-191-2.ec2.internal.json.gz_1565-KNFP459 (MONROVIA, CITY O_OSU45AFHXZP5TZVW",1,elevation,33,305.0 171.0 0.0
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00058-ip-10-236-191-2.ec2.internal.json.gz_1565-KNFP459 (MONROVIA, CITY O_OSU45AFHXZP5TZVW",2,address,0,RIVERSIDE RESERVOIR 140 E LIME AVE
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00215-ip-10-236-191-2.ec2.internal.json.gz_1988-Schedule | SoxProspects.c_4EOY6XCRETSHWKGY,0,day,27,Thursday Friday Saturday Sunday Monday Tuesday Wednesday Thursday Friday Saturday Sunday Monday Tuesday Wednesday Thursday Thursday Friday Saturday Sunday Monday Tuesday Thursday Friday Saturday Sunday Sunday Monday Tuesday Wednesday Thursday Friday
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00215-ip-10-236-191-2.ec2.internal.json.gz_1988-Schedule | SoxProspects.c_4EOY6XCRETSHWKGY,1,location,44,Away Away Away Away Away Away Away Away Home Home Home Home Away Away Away Away Away Away Away Away Away Home Home Home Home Home Home Home Home Home Away
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00215-ip-10-236-191-2.ec2.internal.json.gz_1988-Schedule | SoxProspects.c_4EOY6XCRETSHWKGY,2,status,71,Final Final Final Final Final Final Final Final Final/10 Final Final Final Final Postponed: Jun 15th Final/7 Final/7 Final Final Final/17 Final Final Final Final Postponed: Jun 25th Postponed: Jul 21st Postponed: Jul 22nd Final/12 Final Final Final Final
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00215-ip-10-236-191-2.ec2.internal.json.gz_1988-Schedule | SoxProspects.c_4EOY6XCRETSHWKGY,3,result,65,Loss Loss Loss Win Win Loss Win Win Win Win Win Win Loss Loss Win Loss Win Win Win Win Loss Loss Loss Loss Win Loss Loss
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00215-ip-10-236-191-2.ec2.internal.json.gz_1981-Schedule | SoxProspects.c_YNK3ZYCZ7XDK236P,0,day,27,Saturday Sunday Monday Tuesday Tuesday Thursday Friday Saturday Sunday Monday Tuesday Wednesday Thursday Friday Saturday Sunday Monday Tuesday Wednesday Thursday Friday Saturday Sunday Monday Tuesday Thursday Friday Saturday Sunday Monday
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00215-ip-10-236-191-2.ec2.internal.json.gz_1981-Schedule | SoxProspects.c_YNK3ZYCZ7XDK236P,1,location,44,Home Home Home Home Home Away Away Away Away Away Away Away Away Home Home Home Home Home Home Home Home Away Away Away Away Away Away Away Away Home
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00215-ip-10-236-191-2.ec2.internal.json.gz_1981-Schedule | SoxProspects.c_YNK3ZYCZ7XDK236P,2,status,71,Final Final Suspended: May 4th Final Final/7 Final Final/12 Final Final Final Final Final Final Final Final Final Final Final Final Final Cancelled Final Final Final Final Final/10 Final Final Final Postponed: Jun 1st
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00215-ip-10-236-191-2.ec2.internal.json.gz_1981-Schedule | SoxProspects.c_YNK3ZYCZ7XDK236P,3,result,65,Loss Loss Win Win Loss Loss Win Loss Win Win Loss Loss Loss Win Win Win Win Win Win Loss Win Loss Win Loss Loss Win Win
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00099-ip-10-236-191-2.ec2.internal.json.gz_766-Meto's anime List - Anime-_Y5LYESEHQT6OZ6W5,0,type,75,Movie TV OVA TV TV TV TV TV TV OVA TV TV DVD Special DVD Special TV TV OVA TV TV OVA OVA TV DVD Special TV TV Special TV TV Movie TV OVA TV TV TV TV DVD Special Movie TV OVA OVA TV Movie Movie Movie Movie Movie Movie TV TV OVA OVA
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00099-ip-10-236-191-2.ec2.internal.json.gz_766-Meto's anime List - Anime-_Y5LYESEHQT6OZ6W5,1,year,77,2007 2012 2012 2005 2014 2014 2015 2010 2012 2011 2014 2010 2010 2010 2012 2012 2012 2010 2013 2014 2013 2007 2008 2009 2009 2011 1997 2012 2013 2010 2012 2004 2013 2011 2011 2012 2011 2012 2011 2012 2010 2010 2010 2010 2011 2011 2012 2011 2011 2011
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00099-ip-10-236-191-2.ec2.internal.json.gz_766-Meto's anime List - Anime-_Y5LYESEHQT6OZ6W5,2,status,71,Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00310-ip-10-236-191-2.ec2.internal.json.gz_1841-Schedule | SoxProspects.c_TQWGU4VTRHGUC6KJ,0,day,27,Saturday Sunday Monday Tuesday Thursday Friday Saturday Sunday Monday Tuesday Wednesday Thursday Friday Saturday Sunday Monday Tuesday Wednesday Thursday Friday Saturday Sunday Sunday Monday Tuesday Thursday Friday Saturday Sunday Monday
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00310-ip-10-236-191-2.ec2.internal.json.gz_1841-Schedule | SoxProspects.c_TQWGU4VTRHGUC6KJ,1,location,44,Away Away Away Away Away Away Away Away Home Home Home Home Home Home Home Home Away Away Away Away Away Away Away Away Away Home Home Home Home Home
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00310-ip-10-236-191-2.ec2.internal.json.gz_1841-Schedule | SoxProspects.c_TQWGU4VTRHGUC6KJ,2,status,71,Final Final Final Final Final Final Final Final Final Final Final Final Final Final Final Final Final Final Final Final Suspended: May 23rd Final Final/7 Final Final Final Final Final Final Final
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00310-ip-10-236-191-2.ec2.internal.json.gz_1841-Schedule | SoxProspects.c_TQWGU4VTRHGUC6KJ,3,result,65,Loss Loss Loss Win Loss Win Loss Win Loss Win Win Win Win Win Win Loss Win Loss Loss Loss Loss Win Loss Loss Win Loss Win Win Win
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00117-ip-10-236-191-2.ec2.internal.json.gz_2159-1975 USMS Top 10 SCY for _2R6Z2LENPV6QAEAM,0,name,46,Steve Engel Steve Engel Steve Engel Steve Engel Steve Engel Steve Engel
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00117-ip-10-236-191-2.ec2.internal.json.gz_2159-1975 USMS Top 10 SCY for _2R6Z2LENPV6QAEAM,1,age,3,31 31 31 31 31 31
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00117-ip-10-236-191-2.ec2.internal.json.gz_2159-1975 USMS Top 10 SCY for _2R6Z2LENPV6QAEAM,2,club,15,PNA PNA PNA PNA PNA PNA
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00221-ip-10-236-191-2.ec2.internal.json.gz_1384-Joy's bookshelf: 2011, fi_NWEJ7ZCGMNC6EUSK",0,isbn,40,isbn 158333372X isbn 1885535333 isbn 0761156097 isbn 0312869274 isbn 0062092847 isbn 1439192464 isbn 0525952519 isbn 0312053983 isbn 0679406417 isbn 0813022819 isbn 1439163528 isbn 1770460608 isbn 0545010225 isbn 0312537182 isbn 0439785960 isbn 043935806X isbn 0439139597 isbn 0439136350 isbn 0439064864 isbn 0590353403 isbn 1608190153 isbn 0783554524 isbn 1442412402 isbn 1442413425 isbn 0316033049 isbn 074321062X isbn 1423121112 isbn 0374361312 isbn 0374177449 isbn 080500596X
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00221-ip-10-236-191-2.ec2.internal.json.gz_1384-Joy's bookshelf: 2011, fi_NWEJ7ZCGMNC6EUSK",1,notes,48,notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private! notes Notes are private!
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00221-ip-10-236-191-2.ec2.internal.json.gz_1384-Joy's bookshelf: 2011, fi_NWEJ7ZCGMNC6EUSK",2,format,36,format Paperback format Paperback format Paperback format Hardcover format Hardcover format Hardcover format Hardcover format Hardcover format Hardcover format Hardcover format Hardcover format Hardcover format Hardcover format Hardcover format Paperback format Hardcover format Hardcover format Hardcover format Hardcover format Hardcover format Hardcover format Hardcover format Paperback format Paperback format Hardcover format Hardcover format Hardcover format Hardcover format Hardcover format Paperback
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00086-ip-10-236-191-2.ec2.internal.json.gz_2271-2005 USMS Top 10 LCM for _T42P5XWLMC55KOYO,0,name,46,Larry Krauser Lee E Mench Bradford R Gandee Neil R Wasserman Fred Ferroggiaro Larry W Wood Jack R Martin Tim P Buckley James Ryan David C Bright
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00086-ip-10-236-191-2.ec2.internal.json.gz_2271-2005 USMS Top 10 LCM for _T42P5XWLMC55KOYO,1,age,3,52 53 51 50 52 51 54 50 53 52
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00086-ip-10-236-191-2.ec2.internal.json.gz_2271-2005 USMS Top 10 LCM for _T42P5XWLMC55KOYO,2,club,15,INWM HSAM UNAT GOST NCMS HOTS 1776 RAYS 1776 NEM
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00019-ip-10-236-191-2.ec2.internal.json.gz_1464-Latest Fashion Clothing &_ZMCPCPTH242AFXQ2,0,age,3,12M 18M 24M
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00019-ip-10-236-191-2.ec2.internal.json.gz_1464-Latest Fashion Clothing &_ZMCPCPTH242AFXQ2,1,weight,76,17-22 lbs 22-27 lbs 27-30 lbs
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00019-ip-10-236-191-2.ec2.internal.json.gz_1464-Latest Fashion Clothing &_ZMCPCPTH242AFXQ2,2,weight,76,7.7-9.9 kgs 9.9-12.2 kgs 12.2-13.6 kgs
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00163-ip-10-236-191-2.ec2.internal.json.gz_753-bobmarleypeople's anime Li_FIFZ3M7FZOHUJNMH,0,type,75,Movie TV OVA TV Special TV DVD Special Movie TV DVD Special TV OVA Movie TV TV DVD Special DVD Special OVA TV TV TV TV Movie Other TV TV TV TV Movie OVA OVA TV OVA Movie OVA OVA TV TV TV Movie Movie TV Special TV TV Music Video Music Video TV OVA TV TV TV
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00163-ip-10-236-191-2.ec2.internal.json.gz_753-bobmarleypeople's anime Li_FIFZ3M7FZOHUJNMH,1,year,77,2007 1998 1993 2007 2006 2007 2000 2005 2005 2009 2009 1988 2001 2010 2010 2010 2003 2010 2010 2010 2002 2001 2002 2007 2009 2010 2004 2000 2005 2007 2003 1987 2010 2009 2010 1997 2005 1998 1999 2000 2004 2002 2010 1994 2007 1999 2002 1998 2003 2010
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00163-ip-10-236-191-2.ec2.internal.json.gz_753-bobmarleypeople's anime Li_FIFZ3M7FZOHUJNMH,2,status,71,Want to Watch Stalled Watched Want to Watch Want to Watch Want to Watch Watched Watched Want to Watch Watched Watched Dropped Want to Watch Watched Watched Watched Watched Dropped Won't Watch Dropped Watched Watched Watched Want to Watch Want to Watch Watched Dropped Watched Watched Watched Watched Stalled Want to Watch Watched Want to Watch Stalled Stalled Watched Watched Watched Watched Watched Watched Watched Watched Watched Watched Dropped Watched Watched
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00089-ip-10-236-191-2.ec2.internal.json.gz_2075-2003 USMS Top 10 SCM for _VWVPHKBZFDUFM5TZ,0,name,46,Patricia Flynn Michell Jesperson Nicole Benson Magda Stovickova Laura Koch Karen L Purdy Linda Paulsen Liz Myers Joy Stover Janice Yung
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00089-ip-10-236-191-2.ec2.internal.json.gz_2075-2003 USMS Top 10 SCM for _VWVPHKBZFDUFM5TZ,1,age,3,27 29 29 28 27 29 29 29 27 27
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00089-ip-10-236-191-2.ec2.internal.json.gz_2075-2003 USMS Top 10 SCM for _VWVPHKBZFDUFM5TZ,2,club,15,PAFC USF NEM GSM DAMM ANCM REDT GAJA MOVY UCLA
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00019-ip-10-236-191-2.ec2.internal.json.gz_1494-Sale View All - Juicy Cou_E3ZH6W6KKNXRE2UA,0,age,3,12M 18M 24M
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00019-ip-10-236-191-2.ec2.internal.json.gz_1494-Sale View All - Juicy Cou_E3ZH6W6KKNXRE2UA,1,weight,76,17-22 lbs 22-27 lbs 27-30 lbs
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00019-ip-10-236-191-2.ec2.internal.json.gz_1494-Sale View All - Juicy Cou_E3ZH6W6KKNXRE2UA,2,weight,76,7.7-9.9 kgs 9.9-12.2 kgs 12.2-13.6 kgs
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00089-ip-10-236-191-2.ec2.internal.json.gz_2425-125 Results, Texas Societ_H2JEGTK2PM4DAHUL",0,name,46,"""Alexander Architectural Archive, UT"" Waco Traffic Circle ""Old Main, Texas State University"" 1400 South Congress Avenue Blanton Museum, UT Lost Pines Chapel Wesley Brethren Chruch UT Center for American History Mexican American Cultural Center Pearl Stable Texas Historical Commission Library/Old Gethsemane Church Public Works Administration Drive-in Movie Theaters Deep Eddy Pool and Bathhouse Museo Alameda Semmes Branch Library ""Main Building, St. Edward's University"" Labyrinths Austin Resource Center for the Homeless San Antonio River Walk Pattern Books Garner State Park Austin Convention Center Parking Garage/Chilling Station University of Texas at San Antonio Downtown Campus Whole Foods Market ""Lenora & Walter F. Brown Asian Wing, SA Museum of Art"" Slipcovers Penn Field St. Paul's Lutheran Church Bexar County Courthouse Norwood Tower ""Taj Mahal, Randolph AFB"" Barton Springs Bexar County Humane Society/SPCA Shelter Sunset Station St. Paul Square Texas A&M University Bonfire Memorial ""Academic Building, Texas A&M"" Houston Street Revitalization Milam County Courthouse Austin City Hall Columbariums San Fernando Cathedral Oriental Garden at Zilker Park Temple Beth-El Lester E. Palmer Events Center Kreische Brewery/Monument Hill La Villita Kel-Lac Transit Center Harry Ransom Humanities Research Center"
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00089-ip-10-236-191-2.ec2.internal.json.gz_2425-125 Results, Texas Societ_H2JEGTK2PM4DAHUL",1,city,12,Winedale Austin San Antonio Austin Statewide Statewide Austin San Antonio San Antonio Austin Austin San Antonio Statewide Uvalde Austin San Antonio Austin San Antonio Statewide Austin Serbin San Antonio Austin San Antonio Austin San Antonio San Antonio San Antonio College Station College Station San Antonio Cameron Austin San Antonio Austin San Antonio Austin La Grange San Antonio San Antonio Austin
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00089-ip-10-236-191-2.ec2.internal.json.gz_2425-125 Results, Texas Societ_H2JEGTK2PM4DAHUL",2,year,77,1958.0 1933.0 1903.0 2007.0 2008.0 2008.0 1866.0 2007.0 1936.0 2007.0 2005.0 2004.0 1969.0 1941.0 1997.0 2005.0 2005.0 1910.0 1999.0 1929.0 1930.0 1929.0 2002.0 1998.0 2004.0 1914.0 1990.0 2002.0 2004.0 1969.0 2003.0 2002.0 1939.0 2004.0 2001.0
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00019-ip-10-236-191-2.ec2.internal.json.gz_1929-Schedule | SoxProspects.c_C7PGFQ36NDYWIBD7,0,day,27,Sunday Monday Wednesday Thursday Thursday Friday Saturday Sunday
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00019-ip-10-236-191-2.ec2.internal.json.gz_1929-Schedule | SoxProspects.c_C7PGFQ36NDYWIBD7,1,location,44,Home Home Away Home Home Home Away Away
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00019-ip-10-236-191-2.ec2.internal.json.gz_1929-Schedule | SoxProspects.c_C7PGFQ36NDYWIBD7,2,status,71,Final Final Cancelled Final/7 Final Final Final Final
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00019-ip-10-236-191-2.ec2.internal.json.gz_1929-Schedule | SoxProspects.c_C7PGFQ36NDYWIBD7,3,result,65,Win Loss Win Win Win Loss Win
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00237-ip-10-236-191-2.ec2.internal.json.gz_1160-Maps, Weather, and Airpor_YLN4P3YBPSWPSNDF",0,code,16,FR35056 FR3711 RKNW RKNC RKTU
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00237-ip-10-236-191-2.ec2.internal.json.gz_1160-Maps, Weather, and Airpor_YLN4P3YBPSWPSNDF",1,name,46,C 329 Heliport G 419 WONJU A-306 Airport CHEONGJU INTL
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00237-ip-10-236-191-2.ec2.internal.json.gz_1160-Maps, Weather, and Airpor_YLN4P3YBPSWPSNDF",2,city,12,Hoengsong Chun Chon City Cheongju
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00061-ip-10-236-191-2.ec2.internal.json.gz_655-Mofroman007's anime List -_FZXHZ2YMJZ7JSD4A,0,type,75,Movie TV Movie TV Movie TV TV Movie Movie Other TV TV TV TV TV TV TV Movie Movie TV TV TV TV TV Movie TV TV Movie TV OVA TV TV TV TV TV TV TV TV TV TV OVA TV TV TV TV TV Movie Movie Movie Movie
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00061-ip-10-236-191-2.ec2.internal.json.gz_655-Mofroman007's anime List -_FZXHZ2YMJZ7JSD4A,1,year,77,2007 2005 1988 2010 2013 2012 2009 2007 2004 2011 2013 2007 2007 2004 1997 2006 2004 2006 2007 2005 2011 2000 2009 2008 2011 2007 2008 2007 2007 2012 2006 2008 1998 1999 2003 2007 2011 2006 2007 2004 2008 2010 2009 2007 2004 2005 2007 2009 2012 2010
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00061-ip-10-236-191-2.ec2.internal.json.gz_655-Mofroman007's anime List -_FZXHZ2YMJZ7JSD4A,2,status,71,Watched Watching Watched Watched Want to Watch Watching Want to Watch Watched Watched Want to Watch Watching Watching Watching Want to Watch Watched Want to Watch Watched Watched Watched Watching Watching Want to Watch Watched Want to Watch Watched Watched Watching Watched Watched Watching Watched Watched Watched Want to Watch Watching Watching Watched Watched Want to Watch Watching Want to Watch Watching Want to Watch Watched Watched Watching Watched Watched Watched Watched
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00170-ip-10-236-191-2.ec2.internal.json.gz_2001-Casey Carrigan Bio, Stats_7XNBZVUU3SWPLEPE",0,age,3,17 17 17 17 17 17 17 17
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00170-ip-10-236-191-2.ec2.internal.json.gz_2001-Casey Carrigan Bio, Stats_7XNBZVUU3SWPLEPE",1,city,12,Ciudad de México Ciudad de México Ciudad de México Ciudad de México Ciudad de México Ciudad de México Ciudad de México Ciudad de México
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00170-ip-10-236-191-2.ec2.internal.json.gz_2001-Casey Carrigan Bio, Stats_7XNBZVUU3SWPLEPE",2,country,22,United States United States United States United States United States United States United States United States
"webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00170-ip-10-236-191-2.ec2.internal.json.gz_2001-Casey Carrigan Bio, Stats_7XNBZVUU3SWPLEPE",3,rank,60,20 12 1T 3T 3T 7T 7T 12
webtables1/K1_multi-col/0_1438042986022.41;warc;CC-MAIN-20150728002306-00208-ip-10-236-191-2.ec2.internal.json.gz_187-Difference between revisio_UZGY6Y5HB4EVQKCJ,0,code,16,AI-018 AI-017 AI-016 AI-015 AI-014 AI-013 AI-012 AI-011 AI-010 AI-009 AI-008 AI-007 AI-006 AI-005 AI-004 AI-003 AI-002 AI-001
